ref_audio|ref_text
wav/Prompt_明星_马云_1.wav|前段时间我面试了六个年轻人，我是倒吸了一口凉气。
wav/Prompt_角色_哪吒_1.wav|得了吧，您天天不是忙着斩妖就是除魔，今儿能见找您都是三生有幸，哪儿有空哄小孩啊。
wav/Prompt_Character_SSX_1.wav|送你个轰轰烈烈的退场，感谢本小姐大恩大德吧！
wav/Prompt_Character_ZBJ_1.wav|我老猪本是上界的天蓬元帅，不想下界之后错投了猪胎。
wav/Prompt_Character_gaolengyujie_Zh_Female_1.wav|人生就像一场马拉松比赛，重要的是坚持不懈地向前跑，而不仅仅是关注眼前的一小段路程。
wav/Prompt_Domain_Audiobook_Zh_Female_1.wav|我说你这只大鸟，真是不讲理，我对你做什么了呀，你就要吞了我！
wav/Prompt_Domain_Audiobook_Zh_Male_1.wav|于是军士归心，因此这雄主二字可谓是搔到了他的痒处。
wav/Prompt_Domain_History_Male_1.wav|刘邦的出生，我们看史记的高祖本纪和汉书的高地纪，记载的非常离奇。
wav/Prompt_Domain_News_Zh_Female_1.wav|主播说联播，今天我来说。
wav/Prompt_Domain_News_Zh_Male_1.wav|哈尔滨亚冬会中国体育代表团正式成立了。